Tipo,ID,Frase
Bloomberg,TIT001,"En 2023, la titulización TIT001 respaldada por Préstamos sindicados emitida por Cooperativa Lambda tuvo una mora media de 2.7%, un spread de 70 pb y una calificación CCC. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT002,"En 2022, la titulización TIT002 respaldada por Factoring emitida por Entidad Gamma tuvo una mora media de 1.88%, un spread de 166 pb y una calificación BBB. La estructura de tramos fue: Senior/Mezzanine/Equity."
Bloomberg,TIT003,"En 2024, la titulización TIT003 respaldada por Hipotecas comerciales emitida por Financiera Omega tuvo una mora media de 3.0%, un spread de 87 pb y una calificación AA. La estructura de tramos fue: Senior/Equity."
Bloomberg,TIT004,"En 2024, la titulización TIT004 respaldada por Hipotecas residenciales emitida por Banco Delta tuvo una mora media de 2.33%, un spread de 138 pb y una calificación AAA. La estructura de tramos fue: Senior/Mezzanine/Equity."
Bloomberg,TIT005,"En 2022, la titulización TIT005 respaldada por Factoring emitida por Banco Beta tuvo una mora media de 0.64%, un spread de 64 pb y una calificación A. La estructura de tramos fue: Senior/Equity."
Bloomberg,TIT006,"En 2023, la titulización TIT006 respaldada por Créditos agrícolas emitida por Banco Alfa tuvo una mora media de 0.64%, un spread de 100 pb y una calificación CCC. La estructura de tramos fue: Mezzanine."
Bloomberg,TIT007,"En 2020, la titulización TIT007 respaldada por Factoring emitida por Banco Beta tuvo una mora media de 3.35%, un spread de 109 pb y una calificación AA. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT008,"En 2020, la titulización TIT008 respaldada por Hipotecas comerciales emitida por Banco Epsilon tuvo una mora media de 1.19%, un spread de 141 pb y una calificación CCC. La estructura de tramos fue: Senior/Equity."
Bloomberg,TIT009,"En 2024, la titulización TIT009 respaldada por Créditos agrícolas emitida por Cooperativa Lambda tuvo una mora media de 1.02%, un spread de 130 pb y una calificación BBB. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT010,"En 2023, la titulización TIT010 respaldada por Hipotecas comerciales emitida por Banco Zeta tuvo una mora media de 2.06%, un spread de 155 pb y una calificación BBB. La estructura de tramos fue: Equity."
Bloomberg,TIT011,"En 2024, la titulización TIT011 respaldada por Factoring emitida por Banco Beta tuvo una mora media de 2.83%, un spread de 63 pb y una calificación CC. La estructura de tramos fue: Equity."
Bloomberg,TIT012,"En 2023, la titulización TIT012 respaldada por Hipotecas residenciales emitida por Banco Zeta tuvo una mora media de 1.48%, un spread de 131 pb y una calificación BB. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT013,"En 2020, la titulización TIT013 respaldada por Leasing vehículos emitida por Banco Delta tuvo una mora media de 2.13%, un spread de 90 pb y una calificación AAA. La estructura de tramos fue: Senior."
Bloomberg,TIT014,"En 2020, la titulización TIT014 respaldada por Créditos agrícolas emitida por Banco Alfa tuvo una mora media de 1.1%, un spread de 112 pb y una calificación A. La estructura de tramos fue: Senior."
Bloomberg,TIT015,"En 2022, la titulización TIT015 respaldada por Préstamos personales emitida por Banco Alfa tuvo una mora media de 2.32%, un spread de 90 pb y una calificación CCC. La estructura de tramos fue: Senior."
Bloomberg,TIT016,"En 2023, la titulización TIT016 respaldada por Hipotecas comerciales emitida por Banco Alfa tuvo una mora media de 0.69%, un spread de 111 pb y una calificación CC. La estructura de tramos fue: Mezzanine."
Bloomberg,TIT017,"En 2022, la titulización TIT017 respaldada por Leasing vehículos emitida por Financiera Omega tuvo una mora media de 1.32%, un spread de 84 pb y una calificación AAA. La estructura de tramos fue: Senior/Mezzanine/Equity."
Bloomberg,TIT018,"En 2024, la titulización TIT018 respaldada por Factoring emitida por Banco Zeta tuvo una mora media de 3.05%, un spread de 54 pb y una calificación CCC. La estructura de tramos fue: Equity."
Bloomberg,TIT019,"En 2022, la titulización TIT019 respaldada por Hipotecas residenciales emitida por Cooperativa Lambda tuvo una mora media de 1.78%, un spread de 91 pb y una calificación A. La estructura de tramos fue: Senior."
Bloomberg,TIT020,"En 2023, la titulización TIT020 respaldada por Préstamos sindicados emitida por Financiera Omega tuvo una mora media de 2.59%, un spread de 192 pb y una calificación BBB. La estructura de tramos fue: Mezzanine."
Bloomberg,TIT021,"En 2022, la titulización TIT021 respaldada por Préstamos personales emitida por Banco Zeta tuvo una mora media de 3.14%, un spread de 94 pb y una calificación C. La estructura de tramos fue: Mezzanine."
Bloomberg,TIT022,"En 2023, la titulización TIT022 respaldada por Leasing vehículos emitida por Banco Delta tuvo una mora media de 1.06%, un spread de 79 pb y una calificación CCC. La estructura de tramos fue: Senior/Equity."
Bloomberg,TIT023,"En 2020, la titulización TIT023 respaldada por Factoring emitida por Banco Zeta tuvo una mora media de 0.83%, un spread de 170 pb y una calificación C. La estructura de tramos fue: Senior/Equity."
Bloomberg,TIT024,"En 2024, la titulización TIT024 respaldada por Hipotecas residenciales emitida por Entidad Gamma tuvo una mora media de 0.52%, un spread de 186 pb y una calificación BB. La estructura de tramos fue: Senior."
Bloomberg,TIT025,"En 2022, la titulización TIT025 respaldada por Hipotecas comerciales emitida por Banco Delta tuvo una mora media de 1.23%, un spread de 108 pb y una calificación B. La estructura de tramos fue: Senior."
Bloomberg,TIT026,"En 2023, la titulización TIT026 respaldada por Hipotecas residenciales emitida por Banco Zeta tuvo una mora media de 3.42%, un spread de 101 pb y una calificación CCC. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT027,"En 2022, la titulización TIT027 respaldada por Hipotecas residenciales emitida por Banco Epsilon tuvo una mora media de 1.35%, un spread de 130 pb y una calificación AAA. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT028,"En 2021, la titulización TIT028 respaldada por Leasing vehículos emitida por Banco Zeta tuvo una mora media de 0.6%, un spread de 178 pb y una calificación A. La estructura de tramos fue: Equity."
Bloomberg,TIT029,"En 2021, la titulización TIT029 respaldada por Préstamos sindicados emitida por Banco Delta tuvo una mora media de 1.84%, un spread de 117 pb y una calificación CCC. La estructura de tramos fue: Senior/Mezzanine/Equity."
Bloomberg,TIT030,"En 2022, la titulización TIT030 respaldada por Hipotecas residenciales emitida por Cooperativa Lambda tuvo una mora media de 2.91%, un spread de 118 pb y una calificación BBB. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT031,"En 2022, la titulización TIT031 respaldada por Factoring emitida por Financiera Omega tuvo una mora media de 2.9%, un spread de 173 pb y una calificación B. La estructura de tramos fue: Mezzanine."
Bloomberg,TIT032,"En 2022, la titulización TIT032 respaldada por Leasing vehículos emitida por Banco Delta tuvo una mora media de 2.53%, un spread de 196 pb y una calificación A. La estructura de tramos fue: Senior/Mezzanine/Equity."
Bloomberg,TIT033,"En 2023, la titulización TIT033 respaldada por Créditos agrícolas emitida por Cooperativa Lambda tuvo una mora media de 1.02%, un spread de 177 pb y una calificación CCC. La estructura de tramos fue: Senior/Mezzanine."
Bloomberg,TIT034,"En 2020, la titulización TIT034 respaldada por Préstamos personales emitida por Banco Delta tuvo una mora media de 2.71%, un spread de 91 pb y una calificación A. La estructura de tramos fue: Senior/Equity."
Bloomberg,TIT035,"En 2021, la titulización TIT035 respaldada por Créditos agrícolas emitida por Banco Alfa tuvo una mora media de 2.05%, un spread de 162 pb y una calificación AA. La estructura de tramos fue: Senior."
Bloomberg,TIT036,"En 2023, la titulización TIT036 respaldada por Préstamos sindicados emitida por Banco Epsilon tuvo una mora media de 3.15%, un spread de 58 pb y una calificación C. La estructura de tramos fue: Senior/Mezzanine/Equity."
Bloomberg,TIT037,"En 2022, la titulización TIT037 respaldada por Créditos agrícolas emitida por Financiera Omega tuvo una mora media de 3.19%, un spread de 103 pb y una calificación CC. La estructura de tramos fue: Senior."
Bloomberg,TIT038,"En 2023, la titulización TIT038 respaldada por Préstamos personales emitida por Banco Alfa tuvo una mora media de 0.98%, un spread de 153 pb y una calificación BBB. La estructura de tramos fue: Equity."
Bloomberg,TIT039,"En 2022, la titulización TIT039 respaldada por Créditos agrícolas emitida por Banco Zeta tuvo una mora media de 3.32%, un spread de 142 pb y una calificación AA. La estructura de tramos fue: Equity."
Bloomberg,TIT040,"En 2021, la titulización TIT040 respaldada por Hipotecas comerciales emitida por Banco Zeta tuvo una mora media de 1.85%, un spread de 117 pb y una calificación AAA. La estructura de tramos fue: Equity."
Bloomberg,TIT041,"En 2024, la titulización TIT041 respaldada por Créditos agrícolas emitida por Banco Delta tuvo una mora media de 1.6%, un spread de 185 pb y una calificación CCC. La estructura de tramos fue: Senior/Mezzanine/Equity."
Bloomberg,TIT042,"En 2020, la titulización TIT042 respaldada por Créditos agrícolas emitida por Banco Alfa tuvo una mora media de 2.13%, un spread de 164 pb y una calificación B. La estructura de tramos fue: Equity."
Bloomberg,TIT043,"En 2024, la titulización TIT043 respaldada por Préstamos personales emitida por Banco Zeta tuvo una mora media de 3.22%, un spread de 76 pb y una calificación AA. La estructura de tramos fue: Mezzanine."
Bloomberg,TIT044,"En 2020, la titulización TIT044 respaldada por Leasing vehículos emitida por Cooperativa Lambda tuvo una mora media de 1.98%, un spread de 110 pb y una calificación A. La estructura de tramos fue: Senior/Equity."
Bloomberg,TIT045,"En 2022, la titulización TIT045 respaldada por Créditos agrícolas emitida por Banco Alfa tuvo una mora media de 0.63%, un spread de 95 pb y una calificación BB. La estructura de tramos fue: Equity."
Bloomberg,TIT046,"En 2022, la titulización TIT046 respaldada por Leasing vehículos emitida por Banco Alfa tuvo una mora media de 3.36%, un spread de 142 pb y una calificación AAA. La estructura de tramos fue: Equity."
Bloomberg,TIT047,"En 2024, la titulización TIT047 respaldada por Factoring emitida por Entidad Gamma tuvo una mora media de 3.44%, un spread de 165 pb y una calificación BB. La estructura de tramos fue: Senior."
